From,To,Group,ratioScore
ADAM10,EPHA3,C2,1.713953488372093
ADAM10,EPHA3,C3,1.9651972157772621
ADAM10,EPHA3,C4,1.4469026548672566
ADAM10,EPHA3,C5,0.4375
ADAM10,EPHA3,C6,2.9545454545454546
ADAM12,ITGA9,C1,1.3283208020050126
ADAM12,ITGA9,C2,1.0952380952380953
ADAM12,ITGA9,C3,0.6865671641791045
ADAM12,ITGA9,C4,1.8840579710144927
ADAM12,ITGA9,C5,13.25
ADAM12,ITGA9,C6,9.666666666666666
ADAM12,ITGB1,C1,4.6187845303867405
ADAM12,ITGB1,C2,3.798076923076923
ADAM12,ITGB1,C3,2.1994301994301995
ADAM12,ITGB1,C4,2.1510416666666665
ADAM12,ITGB1,C5,181
ADAM12,ITGB1,C6,12.11111111111111
ADAM12,SDC4,C1,0.9112554112554112
ADAM12,SDC4,C2,1.0981735159817352
ADAM12,SDC4,C3,0.9120370370370371
ADAM12,SDC4,C4,0.582089552238806
ADAM12,SDC4,C5,11.379310344827585
ADAM12,SDC4,C6,0.7884615384615384
ADAM15,ITGA5,C1,1.0922431865828093
ADAM15,ITGA5,C2,1.4104308390022675
ADAM15,ITGA5,C3,0.8560747663551402
ADAM15,ITGA5,C4,2.077294685990338
ADAM15,ITGA5,C5,185
ADAM15,ITGA5,C6,2.24
ADAM15,ITGA9,C1,0.6822916666666666
ADAM15,ITGA9,C2,0.5078534031413613
ADAM15,ITGA9,C3,0.8256578947368421
ADAM15,ITGA9,C4,1.8878923766816142
ADAM15,ITGA9,C5,11.777777777777779
ADAM15,ITGA9,C6,1.826086956521739
ADAM15,ITGAV,C1,0.7421602787456446
ADAM15,ITGAV,C2,0.7351524879614767
ADAM15,ITGAV,C3,0.4699599465954606
ADAM15,ITGAV,C4,0.8670520231213873
ADAM15,ITGAV,C5,0.0963302752293578
ADAM15,ITGAV,C6,1.6551724137931034
ADAM15,ITGB1,C1,1.0735930735930737
ADAM15,ITGB1,C2,1.0201096892138939
ADAM15,ITGB1,C3,0.6579804560260586
ADAM15,ITGB1,C4,2.297979797979798
ADAM15,ITGB1,C5,185.5
ADAM15,ITGB1,C6,2
ADAM15,ITGB3,C1,0.7450592885375494
ADAM15,ITGB3,C2,0.5183175033921302
ADAM15,ITGB3,C3,0.3622141997593261
ADAM15,ITGB3,C4,1.1484098939929328
ADAM15,ITGB3,C5,26
ADAM15,ITGB3,C6,1.75
ADAM17,ERBB4,C1,1.280590717299578
ADAM17,ERBB4,C2,0.9389671361502347
ADAM17,ERBB4,C3,1.146814404432133
ADAM17,ERBB4,C4,3.9407407407407407
ADAM17,ERBB4,C5,2.7346938775510203
ADAM17,ERBB4,C6,4.3
ADAM17,ITGA5,C1,2.272463768115942
ADAM17,ITGA5,C2,1.548596112311015
ADAM17,ITGA5,C3,1.6564245810055866
ADAM17,ITGA5,C4,1.154109589041096
ADAM17,ITGA5,C5,0.40601503759398494
ADAM17,ITGA5,C6,2.4
ADAM17,ITGB1,C1,2.304075235109718
ADAM17,ITGB1,C2,1.9082125603864735
ADAM17,ITGB1,C3,2.763157894736842
ADAM17,ITGB1,C4,1.0964630225080385
ADAM17,ITGB1,C5,0.3880597014925373
ADAM17,ITGB1,C6,4.133333333333334
ADAM17,NOTCH1,C1,1.2633832976445396
ADAM17,NOTCH1,C2,1.5208333333333333
ADAM17,NOTCH1,C3,4.987341772151899
ADAM17,NOTCH1,C4,4.604651162790698
ADAM17,NOTCH1,C5,7.136363636363637
ADAM17,NOTCH1,C6,1.5263157894736843
ADAM2,CD9,C1,1.1185185185185185
ADAM2,CD9,C2,0.8691588785046729
ADAM2,CD9,C3,1.5878048780487806
ADAM2,CD9,C4,1.4511627906976745
ADAM2,CD9,C5,1.2872340425531914
ADAM2,CD9,C6,1.032258064516129
ADAM2,ITGA6,C1,0.7660377358490567
ADAM2,ITGA6,C2,0.7408088235294118
ADAM2,ITGA6,C3,1.0789473684210527
ADAM2,ITGA6,C4,1.2536585365853659
ADAM2,ITGA6,C5,1.486842105263158
ADAM2,ITGA6,C6,1.4444444444444444
ADAM2,ITGA9,C1,0.8646788990825688
ADAM2,ITGA9,C2,1.0843672456575681
ADAM2,ITGA9,C3,0.998220640569395
ADAM2,ITGA9,C4,1.1030042918454936
ADAM2,ITGA9,C5,0.9620253164556962
ADAM2,ITGA9,C6,0.9743589743589743
ADAM2,ITGB1,C1,0.9364705882352942
ADAM2,ITGB1,C2,1.0608272506082725
ADAM2,ITGB1,C3,0.7347294938917975
ADAM2,ITGB1,C4,1.0571428571428572
ADAM2,ITGB1,C5,1.0916666666666666
ADAM2,ITGB1,C6,1.075
ADAM2,ITGB7,C1,0.8771929824561403
ADAM2,ITGB7,C2,0.903448275862069
ADAM2,ITGB7,C3,0.6267409470752089
